alpha,beta,gamma,delta,theta,t_max,partition
1.0549829499236658,0.5939299646516573,3.331878393609711,0.8176781663265671,0.9717701353619481,10.0,50.0
2.6768308525166713,0.26316095294206393,8.22247204761552,0.9059512767804445,0.5558462247610284,10.0,50.0
1.0167979090204815,0.28183905030353823,8.834347870061656,0.9633414002901988,0.9217775674106086,10.0,50.0
2.7965273617058943,0.2510523490748702,9.30474661778599,0.9563134731145679,0.6730141104807914,10.0,50.0
1.7210280208281916,0.3242883409682415,1.0199279130134136,0.9124054427003347,0.5504136465140499,10.0,50.0
2.0293597184310004,0.1427226720633163,5.225395392767033,0.5471013755089346,0.6917045713744643,10.0,50.0
2.4147697177915743,0.16395674915054104,9.833218736600967,0.6805242453367464,0.7551774497051038,10.0,50.0
1.7960450215241568,0.9542913201703153,4.590503275020135,0.5177545194310683,0.9805516370928732,10.0,50.0
1.242001283620605,0.9506245441555083,8.32359237965551,0.7731792289062384,0.6857563448152653,10.0,50.0
0.969303090425252,0.18653052788144137,5.918108536397949,0.8980714400422742,0.5061847070371199,10.0,50.0
0.701853179986314,0.02406349844384826,7.937686861347429,0.5255714066649538,0.9298535294647845,10.0,50.0
2.3461008143414546,0.20251001137170577,5.364379723389229,0.5943338867633275,0.5555553858812576,10.0,50.0
1.603273101370805,0.6928452479696533,1.262004075965616,0.6827389205038592,0.7391695698272969,10.0,50.0
0.8957746851126147,0.771719517651433,1.7787312042724146,0.6221454579080409,0.9249901011911001,10.0,50.0
2.6998426659969,0.02270376380799991,2.0030843225475907,0.8975438159692634,0.7573690349741362,10.0,50.0
1.1852161823892078,0.5718862873147442,3.26120603033944,0.6760475030926778,0.7233039586219394,10.0,50.0
1.5355875891261301,0.0016257511531020947,9.684237729228814,0.8194389049179509,0.9002382904229269,10.0,50.0
1.2401998614421132,0.5103179373336008,6.6858945378163135,0.7467075752898851,0.5101956912632132,10.0,50.0
2.071969835077499,0.6333972883490662,8.349941905204275,0.7917499302100026,0.7863093816657645,10.0,50.0
1.9495945834576436,0.9757682573385872,6.094738021443006,0.9696497699123611,0.7056918490280499,10.0,50.0
